title,company,location,date_posted
"Senior Data Engineer (100% Remote - USA Only) Six Feet Up 100% Remote, USA",New Senior Data Engineer (100% Remote - USA Only) Six Feet Up,"100% Remote, USA",18 June 2026
"Agentic AI Scientist AstraZeneca Durham, North Carolina, USA",New Agentic AI Scientist AstraZeneca,"Durham, North Carolina, USA",18 June 2026
"Python / DevOps Engineer for Private Voice-AI Setup JB Martyn Illinois, Chicago, United States",New Python / DevOps Engineer for Private Voice-AI Setup JB Martyn,"Illinois, Chicago, United States",15 June 2026
"Python Engineer –  (DevOps/Internal Tools) FULLLY REMOTE ActivePrime, Inc. REMOTE, REMOTE","New Python Engineer –  (DevOps/Internal Tools) FULLLY REMOTE ActivePrime, Inc.","REMOTE, REMOTE",15 June 2026
"Senior Python AI/ML Engineer| Hybrid| Full-time P.R.GLOlinks Consulting Private Limited Bangalore, Pune, India",New Senior Python AI/ML Engineer| Hybrid| Full-time P.R.GLOlinks Consulting Private Limited,"Bangalore, Pune, India",08 June 2026
"Founding ML/Data Scientist (Remote, UK) MyDataValue Remote - London UK, United Kingdom","New Founding ML/Data Scientist (Remote, UK) MyDataValue","Remote - London UK, United Kingdom",03 June 2026
"Tech Lead (Python) | Remote – LATAM | Full-time Crehana LATAM, LATAM, LATAM",New Tech Lead (Python) | Remote – LATAM | Full-time Crehana,"LATAM, LATAM, LATAM",02 June 2026
"Principal Modeler – Model Development Metropolitan Transportation Commission (MTC) San Francisco, CA, United States",New Principal Modeler – Model Development Metropolitan Transportation Commission (MTC),"San Francisco, CA, United States",28 May 2026
"Senior Python & SAS Developer (Data Modernization) Illumen Group Inc. Suitland, MD, United States",Senior Python & SAS Developer (Data Modernization) Illumen Group Inc.,"Suitland, MD, United States",08 May 2026
"Founding Engineer MyDataValue London, UK",Founding Engineer MyDataValue,"London, UK",06 May 2026
"Senior Back-End Python Engineer - FULLY REMOTE-WORLDWIDE ActivePrime, Inc. REMOTE, REMOTE","Senior Back-End Python Engineer - FULLY REMOTE-WORLDWIDE ActivePrime, Inc.","REMOTE, REMOTE",30 April 2026
"Senior BE Python Engineer for DevOps-FULLY REMOTE, U.S., CANADA, EUROPE based only ActivePrime, Inc. REMOTE, REMOTE","Senior BE Python Engineer for DevOps-FULLY REMOTE, U.S., CANADA, EUROPE based only ActivePrime, Inc.","REMOTE, REMOTE",30 April 2026
"Senior Fullstack Software Engineer Autodesk London, United Kingdom",Senior Fullstack Software Engineer Autodesk,"London, United Kingdom",30 April 2026
"Python Back-end Developer Initialize Remote, Remote, UK",Python Back-end Developer Initialize,"Remote, Remote, UK",28 April 2026
"Associate Principal AI Scientist AstraZeneca Durham, North Carolina, USA",Associate Principal AI Scientist AstraZeneca,"Durham, North Carolina, USA",24 April 2026
"Junior DevOps Engineer Patrick J. McGovern Foundation Remote, United States",Junior DevOps Engineer Patrick J. McGovern Foundation,"Remote, United States",23 April 2026
"Research Advocate and Support Engineer Redivis, Inc. Oakland, CA, United States","Research Advocate and Support Engineer Redivis, Inc.","Oakland, CA, United States",22 April 2026
"Lead Python Backend Engineer Reef Technologies Warsaw (fully remote), Poland",Lead Python Backend Engineer Reef Technologies,"Warsaw (fully remote), Poland",16 April 2026
"Senior Python Backend Engineer Reef Technologies Warsaw (fully remote), Poland",Senior Python Backend Engineer Reef Technologies,"Warsaw (fully remote), Poland",16 April 2026
"Senior Python Engineer Fulfil Toronto, ON, Canada",Senior Python Engineer Fulfil,"Toronto, ON, Canada",15 April 2026
"Python Developer Ktek Resourcing Columbus, Ohio, United States",Python Developer Ktek Resourcing,"Columbus, Ohio, United States",13 April 2026
"Software Engineer - Python RouteOne Farmington Hills, MI, United States",Software Engineer - Python RouteOne,"Farmington Hills, MI, United States",09 April 2026
"Python Research Software Consultant (Competitive Pay, Short-Term, Remote) Texas Southern University Houston, TX, USA","Python Research Software Consultant (Competitive Pay, Short-Term, Remote) Texas Southern University","Houston, TX, USA",08 April 2026
"GenAI & Python Specialist Deloitte Toronto, Ontario, Canada",GenAI & Python Specialist Deloitte,"Toronto, Ontario, Canada",07 April 2026
"Machine Learning Engineer Rebel Space Technologies Long Beach, Hybrid, California, USA",Machine Learning Engineer Rebel Space Technologies,"Long Beach, Hybrid, California, USA",01 April 2026
